Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/31,UTTAR PRADESH,SHRAWASTI,0.07,327.31,0.68,25.55330846
2020/01/31,UTTAR PRADESH,SULTANPUR,0,530.54,0,23.55040563
2020/01/31,UTTAR PRADESH,GONDA,0.14,509.63,0.89,24.72027567
2020/01/31,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,0,136.22,0,18.86710157
2020/01/31,UTTAR PRADESH,KANSIRAM NAGAR,0.16,214.6,1.44,21.33748898
2020/01/31,UTTAR PRADESH,MAHARAJGANJ,0,373.68,0,25.23300574
2020/01/31,UTTAR PRADESH,MAINPURI,0.02,295.86,0.23,21.45070399
2020/01/31,UTTAR PRADESH,VARANASI,0,125.24,0,15.86149473
2020/01/31,UTTAR PRADESH,AURAIYA,0.98,228.93,6.46,22.35106404
2020/01/30,UTTAR PRADESH,FARRUKHABAD,0.06,191.08,0.26,17.10860694
2020/01/30,UTTAR PRADESH,LUCKNOW,0.47,303.57,3.4,23.41727591
2020/01/30,UTTAR PRADESH,KHERI,0.09,944.08,0.83,23.91853669
2020/01/30,UTTAR PRADESH,CHANDAULI,0,217.47,0,16.85491979
2020/01/30,UTTAR PRADESH,AMBEDKAR NAGAR,0,238.98,0,20.22995238
2020/01/30,UTTAR PRADESH,BUDAUN,0.17,480.47,1.62,18.48217458
2020/01/30,UTTAR PRADESH,BALRAMPUR,0.08,391.11,0.85,23.0176085
2020/01/30,UTTAR PRADESH,BASTI,0.01,299.82,0.06,20.36965907
2020/01/30,UTTAR PRADESH,RAMPUR,0.21,376.55,1.58,28.53876155
2020/01/30,UTTAR PRADESH,MIRZAPUR,0.02,504.64,0.25,21.95196592
2020/01/30,UTTAR PRADESH,JYOTIBA PHULE NAGAR,0.29,251.56,3.01,21.57884174
2020/01/30,UTTAR PRADESH,LALITPUR,0.02,471.46,0.13,18.33581262
2020/01/30,UTTAR PRADESH,MAHAMAYA NAGAR,0,221.43,0,24.48682192
2020/01/30,UTTAR PRADESH,MATHURA,0,257.22,0,14.99760975
2020/01/30,UTTAR PRADESH,MAHOBA,0,299.38,0,20.4579927
2020/01/30,UTTAR PRADESH,CHITRAKOOT,0.01,244.64,0.04,15.57893215
2020/01/30,UTTAR PRADESH,SAHARANPUR,0.09,474.61,0.87,24.74540176
2020/01/30,UTTAR PRADESH,KANNAUJ,0.56,241.3,4.39,22.77250159
2020/01/30,UTTAR PRADESH,SANT KABIR NAGAR,0,177.5,0,21.74410401
2020/01/30,UTTAR PRADESH,SONBHADRA,0.33,877.58,1.94,25.40853922
2020/01/30,UTTAR PRADESH,FATEHPUR,0.02,289.55,0.15,13.60264161
2020/01/30,UTTAR PRADESH,BARA BANKI,0.01,464.89,0.04,24.00259079
2020/01/30,UTTAR PRADESH,AZAMGARH,0,299.75,0,13.76368786
2020/01/30,UTTAR PRADESH,BAGHPAT,0,143.88,0.02,21.0942082
2020/01/30,UTTAR PRADESH,ALIGARH,0.03,422.04,0.26,22.03027002
2020/01/30,UTTAR PRADESH,HARDOI,0.06,647.64,0.53,21.08519511
2020/01/30,UTTAR PRADESH,RAE BARELI,0.03,417.44,0.32,17.72073902
2020/01/30,UTTAR PRADESH,GHAZIPUR,0,204.02,0,11.83526703
2020/01/30,UTTAR PRADESH,KAUSHAMBI,0,153.01,0,14.79668059
2020/01/30,UTTAR PRADESH,BULANDSHAHR,0.01,395,0.1,21.65762696
2020/01/30,UTTAR PRADESH,DEORIA,0,287.49,0,22.0613028
2020/01/30,UTTAR PRADESH,BAHRAICH,0.2,486.61,1.75,21.99192181
2020/01/30,UTTAR PRADESH,GORAKHPUR,0.07,373.7,0.48,21.77758606
2020/01/30,UTTAR PRADESH,BIJNOR,0.28,573.92,2.49,25.86291209
2020/01/30,UTTAR PRADESH,BANDA,0,383.4,0,16.59813402
2020/01/30,UTTAR PRADESH,MUZAFFARNAGAR,0.1,486.09,0.93,23.33116412
2020/01/30,UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI),0,72.49,0,14.10960027
2020/01/30,UTTAR PRADESH,HAMIRPUR,0,539.78,0,24.84737311
2020/01/30,UTTAR PRADESH,PRATAPGARH,0,363.91,0,19.22360198
2020/01/30,UTTAR PRADESH,ETAWAH,0.21,263.06,1.86,22.16090649
2020/01/30,UTTAR PRADESH,MORADABAD,0.59,505.07,4.92,27.1628227
2020/01/30,UTTAR PRADESH,AGRA,0.04,442.03,0.4,21.49693117
2020/01/30,UTTAR PRADESH,JAUNPUR,0,278.53,0,13.55094526
2020/01/30,UTTAR PRADESH,KANPUR NAGAR,0.02,303.96,0.16,20.6958209
2020/01/30,UTTAR PRADESH,JHANSI,0.03,631.59,0.2,24.45943517
2020/01/30,UTTAR PRADESH,SIDDHARTH NAGAR,0,325.95,0.03,22.52492593
2020/01/30,UTTAR PRADESH,MEERUT,0.04,318.36,0.38,23.73618211
2020/01/30,UTTAR PRADESH,PILIBHIT,0.05,429.72,0.48,23.33657889
2020/01/30,UTTAR PRADESH,SHAHJAHANPUR,0.01,416.91,0.13,17.50730053
2020/01/30,UTTAR PRADESH,KANPUR DEHAT,0.31,369.05,1.93,22.51486648
2020/01/30,UTTAR PRADESH,FIROZABAD,0.01,255.52,0.14,20.81497859
2020/01/30,UTTAR PRADESH,AYODHYA,0,320.96,0.01,22.98417834
2020/01/30,UTTAR PRADESH,KUSHINAGAR,0,376.66,0.04,25.5662285
2020/01/30,UTTAR PRADESH,JALAUN,0.01,689.4,0.06,29.56939626
2020/01/30,UTTAR PRADESH,GHAZIABAD,0.02,209.73,0.17,20.68011509
2020/01/30,UTTAR PRADESH,ETAH,0,277.38,0,21.59080438
2020/01/30,UTTAR PRADESH,BALLIA,0,187.63,0,12.24937519
2020/01/30,UTTAR PRADESH,UNNAO,0.25,516.78,2.47,22.0239628
2020/01/30,UTTAR PRADESH,MAU,0,112.91,0,13.06981625
2020/01/30,UTTAR PRADESH,SITAPUR,0,639.65,0.01,21.64772114
