Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/02/21,GOA,NORTH GOA,0,98.99,0,11.32440777
2020/02/20,GOA,SOUTH GOA,0,138.16,0,13.60186909
2020/02/20,GOA,NORTH GOA,0,99.12,0,11.33888941
2020/02/19,GOA,SOUTH GOA,0,138.32,0,13.61753012
2020/02/19,GOA,NORTH GOA,0,99.17,0,11.34506621
2020/02/18,GOA,SOUTH GOA,0,138.47,0,13.63205254
2020/02/18,GOA,NORTH GOA,0,99.28,0,11.35733073
2020/02/17,GOA,SOUTH GOA,0,138.65,0,13.65020927
2020/02/17,GOA,NORTH GOA,0,99.38,0,11.3692714
2020/02/16,GOA,SOUTH GOA,0,138.78,0,13.66305345
2020/02/16,GOA,NORTH GOA,0,99.56,0,11.3890821
2020/02/15,GOA,SOUTH GOA,0,138.89,0,13.67409599
2020/02/15,GOA,NORTH GOA,0,99.71,0,11.40718137
2020/02/14,GOA,SOUTH GOA,0,139.02,0,13.68650227
2020/02/14,GOA,NORTH GOA,0,99.8,0,11.41746587
2020/02/13,GOA,SOUTH GOA,0,139.2,0,13.7042771
2020/02/13,GOA,NORTH GOA,0,100,0,11.44040178
2020/02/12,GOA,SOUTH GOA,0,139.54,0,13.73766482
2020/02/12,GOA,NORTH GOA,0,100.13,0,11.45527684
2020/02/11,GOA,SOUTH GOA,0,139.69,0,13.75249775
2020/02/11,GOA,NORTH GOA,0,100.31,0,11.47520038
2020/02/10,GOA,SOUTH GOA,0,139.9,0,13.77267425
2020/02/10,GOA,NORTH GOA,0,100.52,0,11.49988253
2020/02/09,GOA,SOUTH GOA,0,140.06,0,13.78924962
2020/02/09,GOA,NORTH GOA,0,100.69,0,11.51895756
2020/02/08,GOA,SOUTH GOA,0,140.54,0,13.83643364
2020/02/08,GOA,NORTH GOA,0,101.04,0,11.55852214
2020/02/07,GOA,SOUTH GOA,0,140.78,0,13.86001429
2020/02/07,GOA,NORTH GOA,0,101.24,0,11.58185156
2020/02/06,GOA,SOUTH GOA,0,140.92,0,13.87386282
2020/02/06,GOA,NORTH GOA,0,101.37,0,11.59709334
2020/02/05,GOA,SOUTH GOA,0,141.23,0,13.90367349
2020/02/05,GOA,NORTH GOA,0,101.64,0,11.627934
2020/02/04,GOA,SOUTH GOA,0,141.59,0,13.93943843
2020/02/04,GOA,NORTH GOA,0,101.97,0,11.66497199
2020/02/03,GOA,SOUTH GOA,0,141.96,0,13.97625656
2020/02/03,GOA,NORTH GOA,0,102.2,0,11.69204935
2020/02/02,GOA,SOUTH GOA,0,142.29,0,14.0081202
